polish,english,category,subtext,accepted_answers,frequency_rank
rok,year,misc,,"[""year""]",1
pół,half,misc,,"[""half""]",2
racja,rationale,misc,,"[""rationale""]",3
lecz,but,misc,,"[""but""]",4
człowiekiem,man,misc,,"[""man""]",5
czyli,i.e.,misc,,"[""i.e.""]",6
radę,advice,misc,,"[""advice""]",7
szybciej,faster,misc,,"[""faster""]",8
chociaż,although,misc,,"[""although""]",9
jezu,jesus,misc,,"[""jesus""]",10
krew,blood,misc,,"[""blood""]",11
późno,late,misc,,"[""late""]",12
dr,Dr.,misc,,"[""dr.""]",13
spotkanie,meeting,noun,,"[""meeting""]",14
you,you,misc,,"[""you""]",15
zewnątrz,outside,misc,,"[""outside""]",16
kapitanie,Captain,noun,,"[""captain""]",17
głowę,head,misc,,"[""head""]",18
lubisz,like,misc,,"[""like""]",19
chciałabym,I would like,misc,,"[""i would like""]",20
zależy,depends,misc,,"[""depends""]",21
robota,robot,misc,,"[""robot""]",22
d,d,misc,,"[""d""]",23
lubi,likes,misc,,"[""likes""]",24
słowo,word,adverb,,"[""word""]",25
wziąć,take,verb,,"[""take""]",26
gdybyś,if you,misc,,"[""if you""]",27
powinno,should,misc,,"[""should""]",28
mówiąc,saying,misc,,"[""saying""]",29
mała,little,misc,,"[""little""]",30
wypadek,accident,misc,,"[""accident""]",31
znalazłem,found,misc,,"[""found""]",32
dawaj,donate,misc,,"[""donate""]",33
miesięcy,months,misc,,"[""months""]",34
pójść,go,misc,,"[""go""]",35
wejść,enter,misc,,"[""enter""]",36
nowe,new,adjective,,"[""new""]",37
robimy,we do,misc,,"[""we do""]",38
stronie,website,adverb,,"[""website""]",39
zobaczymy,we'll see,misc,,"[""we'll see""]",40
wrócę,I'll be back,misc,,"[""i'll be back""]",41
mniej,less,misc,,"[""less""]",42
praca,work,misc,,"[""work""]",43
moi,my,misc,,"[""my""]",44
pierwsze,first,misc,,"[""first""]",45
tydzień,week,misc,,"[""week""]",46
zupełnie,entirely,adverb,,"[""entirely""]",47
rodzina,family,adjective,,"[""family""]",48
boga,god,misc,,"[""god""]",49
czeka,waits,misc,,"[""waits""]",50
zna,knows,adjective,,"[""knows""]",51
wody,waters,misc,,"[""waters""]",52
zrobi,will do,misc,,"[""will do""]",53
prawdopodobnie,probably,adverb,,"[""probably""]",54
serca,hearts,misc,,"[""hearts""]",55
widział,seen,misc,,"[""seen""]",56
prawa,rights,adjective,,"[""rights""]",57
nieważne,never mind,adjective,,"[""never mind""]",58
złe,bad,misc,,"[""bad""]",59
mogli,they could,misc,,"[""they could""]",60
jakoś,somehow,misc,,"[""somehow""]",61
mógłbyś,you could,misc,,"[""you could""]",62
człowieku,man,misc,,"[""man""]",63
doktor,doctor,misc,,"[""doctor""]",64
sprawdzić,check,verb,,"[""check""]",65
chłopak,boyfriend,misc,,"[""boyfriend""]",66
film,video,misc,,"[""video""]",67
pracować,work,verb,,"[""work""]",68
według,according to,misc,,"[""according to""]",69
szansę,chance,misc,,"[""chance""]",70
mieście,city,noun,,"[""city""]",71
robią,do,misc,,"[""do""]",72
wiedziałam,knew,misc,,"[""knew""]",73
spotkać,meet,misc,,"[""meet""]",74
jechać,go,misc,,"[""go""]",75
mówiłeś,you said,misc,,"[""you said""]",76
sądzisz,think,misc,,"[""think""]",77
wspólnego,common,misc,,"[""common""]",78
spać,sleep,misc,,"[""sleep""]",79
ojcem,father,misc,,"[""father""]",80
małe,small,misc,,"[""small""]",81
tymi,with these,misc,,"[""with these""]",82
mógłby,could,misc,,"[""could""]",83
gówno,shit,misc,,"[""shit""]",84
koleś,dude,misc,,"[""dude""]",85
ciała,bodies,misc,,"[""bodies""]",86
pracuje,works,misc,,"[""works""]",87
ponad,over,misc,,"[""over""]",88
chwila,moment,misc,,"[""moment""]",89
uwagę,attention,misc,,"[""attention""]",90
problemy,problems,misc,,"[""problems""]",91
wystarczająco,enough,misc,,"[""enough""]",92
brak,no,misc,,"[""no""]",93
zdjęcia,photos,misc,,"[""photos""]",94
miasto,city,misc,,"[""city""]",95
wkrótce,coming soon,misc,,"[""coming soon""]",96
rękę,hand,misc,,"[""hand""]",97
okej,okay,misc,,"[""okay""]",98
kilku,several,misc,,"[""several""]",99
myśleć,think,verb,,"[""think""]",100
wasza,your,misc,,"[""your""]",101
mało,little,misc,,"[""little""]",102
góry,mountains,misc,,"[""mountains""]",103
uh,uh,misc,,"[""uh""]",104
charlie,charlie,misc,,"[""charlie""]",105
michael,michael,misc,,"[""michael""]",106
znać,know,misc,,"[""know""]",107
zatrzymać,stop,misc,,"[""stop""]",108
jakąś,some,misc,,"[""some""]",109
nazywam,I call,misc,,"[""i call""]",110
wiedzą,knowledge,misc,,"[""knowledge""]",111
całym,throughout,misc,,"[""throughout""]",112
broni,arms,misc,,"[""arms""]",113
drogę,way,misc,,"[""way""]",114
gotowa,ready,adjective,,"[""ready""]",115
pogadać,chat,misc,,"[""chat""]",116
droga,road,misc,,"[""road""]",117
wszędzie,everywhere,misc,,"[""everywhere""]",118
przyjaciół,friends,misc,,"[""friends""]",119
dał,gave,misc,,"[""gave""]",120
stronę,website,misc,,"[""website""]",121
mówiłam,said,misc,,"[""said""]",122
pomoże,will help,misc,,"[""will help""]",123
prosto,straight,misc,,"[""straight""]",124
pomóż,Help,misc,,"[""help""]",125
wami,you,misc,,"[""you""]",126
wielkie,great,misc,,"[""great""]",127
powiedziałaś,you said,misc,,"[""you said""]",128
niemożliwe,impossible,adjective,,"[""impossible""]",129
ostatnie,last,adverb,,"[""last""]",130
przyjaciel,friend,misc,,"[""friend""]",131
samochodu,car,misc,,"[""car""]",132
zdjęcie,photo,noun,,"[""photo""]",133
dziewczynę,girl,misc,,"[""girl""]",134
pokaż,show,misc,,"[""show""]",135
zapomnij,forget,misc,,"[""forget""]",136
pa,bye,misc,,"[""bye""]",137
słyszysz,hear,misc,,"[""hear""]",138
nagle,suddenly,misc,,"[""suddenly""]",139
zmienić,switch,verb,,"[""switch""]",140
razu,immediately,misc,,"[""immediately""]",141
samego,itself,misc,,"[""itself""]",142
brata,brother,misc,,"[""brother""]",143
miłości,love,misc,,"[""love""]",144
nazwisko,name,misc,,"[""name""]",145
roboty,works,misc,,"[""works""]",146
drugi,second,misc,,"[""second""]",147
wracaj,return,misc,,"[""return""]",148
rodzice,parents,misc,,"[""parents""]",149
popatrz,look at,misc,,"[""look at""]",150
kłopoty,trouble,misc,,"[""trouble""]",151
większość,most,noun,,"[""most""]",152
czuje,feels,misc,,"[""feels""]",153
trudno,difficult,misc,,"[""difficult""]",154
żaden,no,misc,,"[""no""]",155
zaczyna,starts,adjective,,"[""starts""]",156
drugiej,second,misc,,"[""second""]",157
dół,bottom,misc,,"[""bottom""]",158
odejść,leave,misc,,"[""leave""]",159
szkole,school,misc,,"[""school""]",160
pozwolić,allow,verb,,"[""allow""]",161
frank,frank,misc,,"[""frank""]",162
zobacz,see,misc,,"[""see""]",163
zrobiła,she did,misc,,"[""she did""]",164
dobrym,good,misc,,"[""good""]",165
głowie,head,adverb,,"[""head""]",166
ruszaj,move,misc,,"[""move""]",167
często,often,misc,,"[""often""]",168
faceta,guy,misc,,"[""guy""]",169
muszą,must,misc,,"[""must""]",170
szkoda,pity,misc,,"[""pity""]",171
żadnej,any,misc,,"[""any""]",172
jedziemy,we go,misc,,"[""we go""]",173
początku,beginning,misc,,"[""beginning""]",174
dziecka,child,misc,,"[""child""]",175
matki,mothers,misc,,"[""mothers""]",176
zacząć,start,verb,,"[""start""]",177
całkowicie,entirely,noun,,"[""entirely""]",178
piękna,beautiful,adjective,,"[""beautiful""]",179
godzinę,one hour,misc,,"[""one hour""]",180
głupi,dumb,misc,,"[""dumb""]",181
choć,although,misc,,"[""although""]",182
policji,police,misc,,"[""police""]",183
musiałem,I had to,misc,,"[""i had to""]",184
chłopcy,boys,misc,,"[""boys""]",185
błąd,error,misc,,"[""error""]",186
niestety,unfortunately,misc,,"[""unfortunately""]",187
przykład,example,misc,,"[""example""]",188
dowiedzieć,learn,verb,,"[""learn""]",189
pierwsza,first,misc,,"[""first""]",190
czekać,wait,misc,,"[""wait""]",191
pomyślałem,thought,misc,,"[""thought""]",192
jakaś,some,misc,,"[""some""]",193
zadzwonić,call,verb,,"[""call""]",194
zabawne,funny,adjective,,"[""funny""]",195
zostań,become,misc,,"[""become""]",196
widzenia,viewings,noun,,"[""viewings""]",197
trzech,three,misc,,"[""three""]",198
górę,top,misc,,"[""top""]",199
synu,son,misc,,"[""son""]",200
najlepszy,best,misc,,"[""best""]",201
córka,daughter,misc,,"[""daughter""]",202
pewnego,certain,misc,,"[""certain""]",203
trzymać,hold,misc,,"[""hold""]",204
szefie,Chief,misc,,"[""chief""]",205
dawno,long time,misc,,"[""long time""]",206
rany,wounds,adjective,,"[""wounds""]",207
pokazać,show,misc,,"[""show""]",208
miało,had,misc,,"[""had""]",209
przyszedł,came,misc,,"[""came""]",210
joe,joe,misc,,"[""joe""]",211
siostra,sister,misc,,"[""sister""]",212
sami,themselves,misc,,"[""themselves""]",213
ponownie,again,adverb,,"[""again""]",214
zostawić,leave,verb,,"[""leave""]",215
jedynie,only,adverb,,"[""only""]",216
nowym,new,misc,,"[""new""]",217
zamiast,instead of,misc,,"[""instead of""]",218
inni,others,misc,,"[""others""]",219
jakim,which,misc,,"[""which""]",220
jednej,one,misc,,"[""one""]",221
historia,history,misc,,"[""history""]",222
kraju,country,misc,,"[""country""]",223
obiecuję,promise,misc,,"[""promise""]",224
tygodniu,week,misc,,"[""week""]",225
obok,next to,misc,,"[""next to""]",226
spróbuj,try,misc,,"[""try""]",227
wieku,age,misc,,"[""age""]",228
środka,measure,misc,,"[""measure""]",229
musicie,you must,noun,,"[""you must""]",230
powie,will say,adverb,,"[""will say""]",231
hey,hey,misc,,"[""hey""]",232
dłużej,longer,misc,,"[""longer""]",233
george,george,misc,,"[""george""]",234
chciałeś,wanted,misc,,"[""wanted""]",235
łatwo,easily,misc,,"[""easily""]",236
będziecie,you will,noun,,"[""you will""]",237
okazji,occasions,misc,,"[""occasions""]",238
statek,ship,misc,,"[""ship""]",239
zamierzam,I'm going to,misc,,"[""i'm going to""]",240
