polish,english,category,example_pl,example_en,accepted_answers,frequency_rank
działają,act,misc,Słowo: działają.,Word: they work.,"[""act""]",1
kawałki,pieces,misc,Słowo: kawałki.,The word: pieces.,"[""pieces""]",2
pracą,work,misc,Słowo: pracą.,Word: work.,"[""work""]",3
umieram,I'm dying,misc,Słowo: umieram.,Word: dying.,"[""i'm dying""]",4
uszy,ears,misc,Słowo: uszy.,The word: ears.,"[""ears""]",5
wiecznie,perpetually,adverb,Mówię wiecznie po polsku.,I speak Polish forever.,"[""perpetually""]",6
oficjalnie,officially,adverb,Mówię oficjalnie po polsku.,I speak Polish officially.,"[""officially""]",7
próbuj,try,misc,Słowo: próbuj.,The word: try.,"[""try""]",8
zapłacę,I'll pay,misc,Słowo: zapłacę.,The word: I will pay.,"[""i'll pay""]",9
oddychać,breathe,verb,Lubię oddychać.,I like to breathe.,"[""breathe""]",10
istnieją,there are,misc,Słowo: istnieją.,Word: they exist.,"[""there are""]",11
mistrz,master,misc,Słowo: mistrz.,Word: champion.,"[""master""]",12
decyzji,decision,misc,Słowo: decyzji.,Word: decisions.,"[""decision""]",13
przedstawienie,show,noun,Widzę przedstawienie tutaj.,I see the performance here.,"[""show""]",14
wychodzić,leave,verb,Lubię wychodzić.,I like to go out.,"[""leave""]",15
misja,mission,misc,Słowo: misja.,The word: mission.,"[""mission""]",16
mądry,wise,misc,Słowo: mądry.,Word: wise.,"[""wise""]",17
rozmawiał,discussed,misc,Słowo: rozmawiał.,The word: talked.,"[""discussed""]",18
otwieraj,open,misc,Słowo: otwieraj.,The word: open.,"[""open""]",19
dziewczynie,girl,adverb,Mówię dziewczynie po polsku.,I tell the girl in Polish.,"[""girl""]",20
r,r,misc,Słowo: r.,Word: r.,"[""r""]",21
niewiarygodne,unbelievable,adjective,To jest bardzo niewiarygodne.,This is very unbelievable.,"[""unbelievable""]",22
bać,fear,verb,Muszę bać dzisiaj.,I have to be afraid today.,"[""fear""]",23
znają,know,misc,Słowo: znają.,Word: they know.,"[""know""]",24
prace,works,misc,Słowo: prace.,Word: works.,"[""works""]",25
pacjentów,patients,misc,Słowo: pacjentów.,Word: patients.,"[""patients""]",26
zdrowia,health,misc,Słowo: zdrowia.,Word: health.,"[""health""]",27
kosztuje,costs,misc,Słowo: kosztuje.,The word: costs.,"[""costs""]",28
przedtem,before that,misc,Słowo: przedtem.,Word: before.,"[""before that""]",29
kumpel,buddy,misc,Słowo: kumpel.,Word: buddy.,"[""buddy""]",30
ręką,by hand,misc,Słowo: ręką.,Word: hand.,"[""by hand""]",31
podnieś,pick up,misc,Słowo: podnieś.,Word: pick up.,"[""pick up""]",32
dyrektor,Director,misc,Słowo: dyrektor.,Word: director.,"[""director""]",33
przypomnieć,remind,verb,Muszę przypomnieć dzisiaj.,I have to remind today.,"[""remind""]",34
ilość,quantity,noun,To jest ilość.,That's the quantity.,"[""quantity""]",35
styl,style,misc,Słowo: styl.,The word: style.,"[""style""]",36
posiada,has,misc,Słowo: posiada.,Word: owns.,"[""has""]",37
miejmy,let's have,misc,Słowo: miejmy.,Word: let's have.,"[""let's have""]",38
baru,bar,misc,Słowo: baru.,Word: bar.,"[""bar""]",39
